Distance to closest modifier, Stress
2.34058,1.40882e+08
2.35474,8.71441e+07
2.37291,8.85077e+07
2.33686,1.09281e+08
3.56222,1.44832e+08
3.84303,8.46703e+07
2.36466,9.89263e+07
2.34351,1.61118e+08
3.06661,1.17536e+08
2.86606,9.08352e+07
3.06655,3.54384e+07
2.58036,1.23883e+08
3.04928,1.13583e+08
2.8724,9.65502e+07
2.37636,4.82867e+07
2.34636,9.54012e+07
3.50671,9.54506e+07
2.51432,1.10398e+08
2.29013,6.07875e+07
2.78152,8.5717e+07
2.38006,8.69867e+07
2.3266,1.27051e+08
2.34573,1.11315e+08
4.59341,1.21769e+08
3.7459,8.11904e+07
3.5948,1.13636e+08
2.32806,1.44481e+08
3.33731,6.90553e+07
4.12281,1.09882e+08
2.32381,9.4604e+07
3.28461,1.29023e+08
3.00074,1.33214e+08
2.39057,1.53762e+08
3.40913,8.36168e+07
2.90982,6.50707e+07
2.33839,1.02906e+08
3.90137,7.46408e+07
3.31306,1.0929e+08
2.32267,3.11204e+07
3.48463,8.47194e+07
2.95808,1.20017e+08
2.95655,1.12187e+08
5.16341,1.23332e+08
3.19639,6.11332e+07
3.33143,8.95862e+07
4.53259,3.81896e+07
4.16707,4.34658e+07
4.66084,8.29215e+07
4.30131,1.46567e+08
2.85773,1.4687e+08
2.83858,1.05808e+08
2.31526,5.56361e+07
2.38231,8.89931e+07
3.58962,7.21639e+07
3.12057,4.91885e+07
3.65023,4.16364e+07
2.89273,1.32218e+08
3.51176,1.24244e+08
2.30794,1.19061e+08
2.31987,1.103e+08
2.34853,3.8019e+07
3.70484,5.99877e+07
4.05802,6.44055e+07
4.88633,6.01745e+07
2.80339,1.09653e+08
2.32383,2.68866e+07
3.36791,1.17794e+08
3.42594,8.68842e+07
2.93322,3.75626e+07
2.32923,5.95851e+07
2.3108,6.90432e+07
3.06528,1.20536e+08
3.61825,7.08227e+07
2.3129,1.26905e+08
2.72562,8.44066e+07
2.34327,1.51049e+08
3.38083,1.13723e+08
2.98107,1.13707e+08
3.11149,3.66127e+07
2.31467,6.15108e+07
2.33688,9.05068e+07
2.32711,1.02564e+08
2.34627,9.56495e+07
3.36377,8.89862e+07
4.55894,1.14499e+08
3.67562,7.40844e+07
2.31853,1.04591e+08
2.34544,8.56173e+07
3.52612,7.35009e+07
3.45795,9.73874e+07
3.41554,6.67635e+07
2.35592,4.08116e+07
2.32992,9.22326e+07
3.05899,1.30766e+08
2.75898,8.98664e+07
2.52567,8.21702e+07
3.71803,1.04875e+08
3.10097,1.21437e+08
3.34084,1.22408e+08
2.3043,1.09836e+08
2.97478,1.40568e+08
2.64136,7.33798e+07
3.20714,6.02815e+07
2.32009,1.12278e+08
4.31225,7.54839e+07
3.5682,1.39306e+08
2.32472,9.61541e+07
2.70453,1.01814e+08
2.76708,1.10627e+08
2.90623,1.09983e+08
2.33064,1.37026e+08
2.38535,6.10613e+06
3.24252,6.58484e+07
2.36353,7.94887e+07
4.54661,6.29053e+06
2.31566,8.38262e+07
2.35394,9.28726e+07
4.72976,1.48434e+08
2.66728,1.09315e+08
2.30809,5.85327e+07
2.35596,7.67177e+07
3.64122,2.50489e+07
5.08156,1.0507e+08
2.35193,1.62544e+08
4.3183,8.91763e+07
4.66389,4.16511e+07
4.2637,1.1227e+08
3.88129,8.44368e+07
3.70139,2.91539e+07
3.60829,1.22836e+08
4.33234,8.076e+07
3.56132,1.29442e+08
2.79911,1.20548e+08
4.2205,3.60099e+07
2.34402,1.1999e+08
3.93271,1.2355e+08
2.35661,5.26049e+07
2.79275,6.76518e+07
3.05211,1.04433e+08
3.55358,9.51434e+07
2.31748,1.18767e+08
2.95903,1.15957e+08
2.3059,1.22254e+08
2.37847,9.47013e+07
2.34054,1.48397e+08
2.62726,8.22078e+07
2.59439,1.0611e+08
2.31133,9.95513e+07
2.33879,1.46648e+08
2.63359,1.04204e+08
2.39341,1.18847e+08
2.31988,1.51343e+08
3.45801,4.83045e+07
3.39094,8.70477e+07
3.25909,8.88269e+07
3.53797,1.21934e+08
2.74828,1.57635e+08
2.32184,1.14311e+08
2.39126,7.98348e+07
2.40076,1.15946e+08
2.34648,1.37789e+08
2.38196,1.52329e+08
2.31394,9.92409e+07
2.3398,1.06976e+08
3.84001,8.56199e+07
2.32014,1.05216e+08
2.33001,9.58108e+07
2.38372,1.14818e+08
2.34112,1.67981e+08
4.46403,1.11413e+08
2.88875,4.07363e+07
3.22252,1.63894e+08
2.44422,8.81104e+07
2.28979,9.0184e+07
2.30286,1.19917e+08
3.9184,-5.96873e+06
3.79245,2.68776e+07
3.26156,6.09163e+07
3.20474,9.41237e+07
2.35961,8.79149e+07
2.33632,1.27787e+08
3.4153,1.29803e+08
2.65601,1.00092e+08
2.33881,1.15151e+08
2.38551,1.22663e+08
3.47401,1.22338e+08
3.34676,7.42129e+07
3.50614,1.72533e+06
