Distance to closest modifier, Stress
4.34355,1.0106e+08
2.30192,1.2771e+08
2.32781,1.29806e+08
3.73216,1.17217e+08
2.60559,1.56604e+08
3.2183,1.50454e+08
3.51427,1.41574e+08
3.62215,7.82072e+07
3.37683,1.13337e+08
3.01682,1.28546e+08
2.33057,5.98959e+07
2.84581,1.36004e+08
4.72728,9.45137e+07
4.55401,9.08271e+07
2.96605,1.09825e+08
3.32212,1.18835e+08
2.70981,9.68767e+07
2.65582,1.21044e+07
3.92757,7.39069e+07
3.58486,1.29957e+08
2.75537,1.46162e+08
3.64917,1.36704e+08
2.96272,8.43189e+07
2.35124,1.29122e+08
2.29901,1.05055e+08
4.6414,6.81886e+07
3.11991,1.32784e+08
2.40289,6.55571e+07
2.36152,1.4369e+08
2.70738,1.20581e+08
2.35684,1.23397e+08
2.36447,1.45953e+08
2.80261,8.87985e+07
3.27876,1.51608e+08
3.37003,1.39287e+08
3.82441,1.01868e+08
2.37093,1.14482e+08
2.88496,1.85387e+08
3.50644,1.39247e+08
3.09495,1.2566e+08
3.0738,1.13993e+08
2.33555,7.2264e+07
2.3311,1.26358e+08
2.30885,1.2609e+08
4.69569,1.35606e+08
2.88329,1.49135e+08
3.09826,1.16463e+08
3.71575,8.93695e+07
5.21892,1.73104e+08
2.89281,1.21855e+08
3.18824,1.45252e+08
3.0934,1.28192e+08
3.44583,1.05685e+08
4.62532,8.17304e+07
3.21358,6.43197e+07
3.85014,5.31917e+07
4.09106,1.45952e+08
2.79229,1.10546e+08
2.52538,3.83507e+07
2.99776,6.73519e+07
2.97211,9.01195e+07
2.71287,1.5825e+08
4.56596,1.43063e+08
4.45201,1.03278e+08
3.38227,5.80504e+07
2.32836,1.85318e+08
3.28268,1.51973e+08
3.69277,1.01931e+08
2.82515,9.92252e+07
2.80727,9.16099e+07
2.34057,8.20304e+07
2.27839,8.68526e+07
2.73435,8.69701e+07
3.7662,9.86431e+07
2.33424,1.18272e+08
2.84783,1.00359e+08
3.75124,1.0654e+08
2.92991,1.29129e+08
3.60765,1.25766e+08
2.338,1.30427e+08
2.33265,9.10164e+07
2.71537,4.53429e+07
2.67068,1.50325e+08
